"ID","EmployeeID","WorkStationID","ScanTime","ScanType"
"14984","6574000000","72","2021-05-04 14:45:06","True"
"14985","6604000000","72","2021-05-04 14:45:10","True"
"12580","6738000000","71","2021-03-12 22:44:35","True"
"12574","6005000000","145","2021-03-12 22:26:07","True"
"12584","6657000000","71","2021-03-12 22:48:31","True"
"16025","5979000000","72","2021-06-09 22:56:25","True"
"11442","6729000000","71","2021-03-02 06:41:54","True"
"11443","6736000000","71","2021-03-02 06:42:39","True"
"13174","6320000000","100","2021-03-22 05:58:22","True"
"13179","6803000000","144","2021-03-22 06:17:37","True"
"13180","6780000000","100","2021-03-22 06:20:42","True"
"13181","6752000000","100","2021-03-22 06:22:21","True"
"13184","6795000000","100","2021-03-22 06:22:42","True"
"12608","6779000000","100","2021-03-13 14:14:06","True"
"11319","6711000000","100","2021-03-01 06:20:53","True"
"11430","6795000000","100","2021-03-02 06:20:32","True"
"11431","6254000000","100","2021-03-02 06:20:37","True"
"11432","6516000000","100","2021-03-02 06:20:43","True"
"11433","6771000000","100","2021-03-02 06:20:47","True"
"11434","6711000000","100","2021-03-02 06:20:51","True"
"11435","6611000000","100","2021-03-02 06:20:56","True"
"11436","5379000000","100","2021-03-02 06:21:01","True"
"11437","6021000000","100","2021-03-02 06:21:06","True"
"11438","5100000000","100","2021-03-02 06:22:50","True"
"11991","6738000000","71","2021-03-07 23:59:33","True"
"12023","6733000000","71","2021-03-08 06:44:54","True"
"12024","6732000000","71","2021-03-08 06:45:59","True"
"12025","6010000000","71","2021-03-08 06:46:49","True"
"13178","6708000000","100","2021-03-22 06:13:41","True"
"11304","6556000000","144","2021-02-28 22:15:14","True"
"11305","6005000000","144","2021-02-28 22:15:18","True"
"13987","6517000000","1440174","2021-04-05 06:32:50","True"
"13988","6574000000","71","2021-04-05 06:44:05","True"
"11984","6005000000","145","2021-03-07 21:59:14","True"
"11985","5100000000","100","2021-03-07 22:01:11","True"
"11986","6749000000","100","2021-03-07 22:01:22","True"
"11987","6710000000","100","2021-03-07 22:20:58","True"
